Month,Airbnb,Vrbo,HomeAway,Booking.com
2004-01,0,1,0,0
2004-02,0,1,0,0
2004-03,0,1,0,0
2004-04,0,2,0,0
2004-05,0,2,0,0
2004-06,0,2,0,0
2004-07,0,3,0,0
2004-08,0,2,<1,0
2004-09,0,1,0,<1
2004-10,0,2,0,0
2004-11,0,1,<1,0
2004-12,0,2,0,<1
2005-01,0,2,0,0
2005-02,0,2,0,0
2005-03,0,2,0,0
2005-04,0,2,0,0
2005-05,0,2,0,0
2005-06,0,3,0,<1
2005-07,0,3,0,0
2005-08,0,2,0,0
2005-09,0,2,0,0
2005-10,0,2,0,<1
2005-11,0,3,0,0
2005-12,0,2,0,0
2006-01,0,5,0,0
2006-02,0,4,<1,0
2006-03,0,4,0,0
2006-04,0,4,<1,0
2006-05,0,4,0,<1
2006-06,0,5,<1,0
2006-07,0,5,<1,<1
2006-08,0,5,<1,<1
2006-09,0,3,<1,<1
2006-10,0,4,<1,<1
2006-11,0,4,<1,0
2006-12,0,4,<1,0
2007-01,0,6,<1,<1
2007-02,0,8,<1,<1
2007-03,0,7,<1,<1
2007-04,0,6,<1,<1
2007-05,0,6,<1,<1
2007-06,0,8,<1,<1
2007-07,0,8,<1,<1
2007-08,0,7,<1,<1
2007-09,0,6,<1,<1
2007-10,0,5,<1,<1
2007-11,0,5,<1,<1
2007-12,0,5,<1,<1
2008-01,0,10,1,<1
2008-02,0,9,<1,<1
2008-03,0,9,1,<1
2008-04,0,8,<1,<1
2008-05,0,9,<1,<1
2008-06,0,11,1,<1
2008-07,0,11,1,<1
2008-08,0,9,1,<1
2008-09,0,7,1,<1
2008-10,0,6,<1,<1
2008-11,0,7,1,<1
2008-12,0,7,1,<1
2009-01,0,13,1,<1
2009-02,0,12,1,<1
2009-03,<1,11,1,1
2009-04,<1,10,1,1
2009-05,<1,11,1,1
2009-06,<1,13,1,1
2009-07,<1,13,1,1
2009-08,<1,10,1,1
2009-09,<1,7,1,1
2009-10,<1,7,1,1
2009-11,<1,7,1,1
2009-12,<1,7,1,1
2010-01,<1,13,1,1
2010-02,<1,12,2,1
2010-03,<1,12,2,1
2010-04,<1,11,1,1
2010-05,<1,11,1,2
2010-06,<1,14,2,2
2010-07,1,14,2,2
2010-08,<1,12,1,1
2010-09,<1,9,1,1
2010-10,1,9,1,1
2010-11,1,8,1,1
2010-12,1,9,1,1
2011-01,1,20,2,1
2011-02,1,19,3,1
2011-03,1,20,2,1
2011-04,1,16,2,1
2011-05,2,18,3,1
2011-06,2,23,3,1
2011-07,3,23,3,2
2011-08,4,19,3,2
2011-09,2,15,2,2
2011-10,2,14,2,1
2011-11,2,13,2,1
2011-12,2,14,2,1
2012-01,2,26,3,2
2012-02,3,24,3,2
2012-03,4,23,3,2
2012-04,4,21,3,2
2012-05,5,23,3,2
2012-06,5,27,4,3
2012-07,5,28,3,3
2012-08,6,22,3,2
2012-09,5,18,3,2
2012-10,5,16,2,2
2012-11,5,15,2,2
2012-12,5,15,2,2
2013-01,6,29,4,3
2013-02,6,27,4,4
2013-03,8,28,4,4
2013-04,8,25,3,4
2013-05,10,28,3,4
2013-06,10,31,4,5
2013-07,11,32,4,5
2013-08,11,25,3,5
2013-09,9,21,3,4
2013-10,10,18,2,3
2013-11,9,17,2,2
2013-12,9,18,2,2
2014-01,13,31,4,4
2014-02,12,29,4,4
2014-03,15,31,4,4
2014-04,18,28,4,4
2014-05,18,29,4,5
2014-06,20,33,5,5
2014-07,25,36,5,6
2014-08,22,29,4,5
2014-09,19,23,3,4
2014-10,19,20,3,3
2014-11,16,19,3,3
2014-12,16,20,3,3
2015-01,20,35,5,3
2015-02,22,32,5,3
2015-03,23,31,5,4
2015-04,28,30,5,4
2015-05,34,31,4,4
2015-06,37,35,5,5
2015-07,38,37,6,5
2015-08,38,32,5,5
2015-09,31,25,4,3
2015-10,30,21,3,3
2015-11,28,20,3,3
2015-12,30,21,3,3
2016-01,34,33,5,3
2016-02,36,32,5,3
2016-03,38,32,5,4
2016-04,39,28,4,4
2016-05,49,30,4,5
2016-06,58,36,6,6
2016-07,50,36,6,7
2016-08,46,30,5,5
2016-09,40,23,3,4
2016-10,39,19,3,4
2016-11,39,17,3,4
2016-12,38,18,3,3
2017-01,51,32,5,4
2017-02,54,30,5,5
2017-03,59,31,5,6
2017-04,60,27,5,7
2017-05,62,27,5,7
2017-06,68,32,6,8
2017-07,72,34,6,9
2017-08,65,26,5,8
2017-09,54,20,4,7
2017-10,52,20,3,6
2017-11,50,17,3,5
2017-12,49,17,3,5
2018-01,66,34,5,6
2018-02,65,31,5,7
2018-03,71,31,5,8
2018-04,66,28,4,7
2018-05,69,28,4,8
2018-06,79,33,5,7
2018-07,81,32,5,7
2018-08,70,26,4,6
2018-09,60,21,3,5
2018-10,55,19,3,5
2018-11,51,15,3,5
2018-12,54,18,3,5
2019-01,72,35,4,6
2019-02,70,30,4,7
2019-03,75,30,4,6
2019-04,73,27,3,6
2019-05,80,30,3,6
2019-06,93,35,3,7
2019-07,92,34,3,6
2019-08,83,27,3,5
2019-09,72,21,2,4
2019-10,69,19,2,4
2019-11,64,17,2,3
2019-12,64,19,2,3
2020-01,84,34,3,4
2020-02,82,30,2,4
2020-03,60,21,2,4
2020-04,36,12,1,2
2020-05,72,30,3,3
2020-06,100,41,4,4
2020-07,96,36,2,4
2020-08,90,33,2,4
2020-09,73,27,1,3
2020-10,62,22,1,3
2020-11,53,17,1,2
2020-12,95,18,1,2